id,date,user,employee_id,to,external_flag,size_kb,has_attachment,off_hours_flag
E000001,2026-01-21 23:06:29,farah.iyer1,EMP0001,farah.chatterjee33@company-intranet.local,0,444,0,0
E000002,2026-02-05 14:33:57,farah.iyer1,EMP0001,farah.iyer1@company-intranet.local,0,10,0,0
E000003,2026-01-14 15:51:01,farah.iyer1,EMP0001,rahul.gupta38@company-intranet.local,0,59,0,0
E000004,2026-01-27 07:08:53,farah.iyer1,EMP0001,divya.kapoor39@company-intranet.local,0,273,0,0
E000005,2026-01-16 14:21:30,farah.iyer1,EMP0001,isha.saxena41@company-intranet.local,0,364,0,0
E000006,2026-01-17 14:52:38,farah.iyer1,EMP0001,deepak.gupta8@company-intranet.local,0,496,1,0
E000007,2026-01-27 17:56:39,farah.iyer1,EMP0001,karthik.rao44@company-intranet.local,0,114,0,0
E000008,2026-01-24 13:22:08,farah.iyer1,EMP0001,manoj.mehta57@company-intranet.local,0,34,0,0
E000009,2026-01-20 13:51:07,farah.iyer1,EMP0001,rajesh.iyer56@company-intranet.local,0,274,1,0
E000010,2026-02-06 09:34:18,farah.iyer1,EMP0001,tanya.khan15@company-intranet.local,0,123,0,0
E000011,2026-02-03 11:53:01,farah.iyer1,EMP0001,rahul.gupta38@company-intranet.local,0,76,0,0
E000012,2026-01-13 08:46:10,farah.iyer1,EMP0001,meera.reddy14@company-intranet.local,0,315,1,0
E000013,2026-02-02 08:15:28,farah.iyer1,EMP0001,meera.das18@company-intranet.local,0,176,0,0
E000014,2026-01-27 07:16:59,farah.iyer1,EMP0001,yusuf.naidu3@company-intranet.local,0,361,1,0
E000015,2026-01-19 07:34:26,farah.iyer1,EMP0001,manoj.menon48@company-intranet.local,0,26,0,0
E000016,2026-02-10 02:50:21,farah.iyer1,EMP0001,kiran.joshi16@company-intranet.local,0,257,0,0
E000017,2026-01-28 11:50:47,farah.iyer1,EMP0001,yusuf.naidu3@company-intranet.local,0,270,1,0
E000018,2026-01-07 07:08:27,farah.iyer1,EMP0001,rohan.chatterjee50@company-intranet.local,0,438,0,0
E000019,2026-01-03 18:55:03,farah.iyer1,EMP0001,arjun.mehta34@company-intranet.local,0,458,0,0
E000020,2026-01-24 10:56:38,farah.iyer1,EMP0001,lakshmi.naidu6@company-intranet.local,0,423,0,0
E000021,2026-01-25 08:29:04,farah.iyer1,EMP0001,divya.verma21@company-intranet.local,0,486,1,0
E000022,2026-01-14 07:11:49,farah.iyer1,EMP0001,meera.reddy14@company-intranet.local,0,135,0,0
E000023,2026-01-23 05:27:32,farah.iyer1,EMP0001,varun.iyer36@company-intranet.local,0,98,0,0
E000024,2026-02-06 07:40:54,farah.iyer1,EMP0001,isha.naidu32@company-intranet.local,0,222,1,0
E000025,2026-02-11 17:39:13,farah.iyer1,EMP0001,arjun.mehta34@company-intranet.local,0,430,0,0
E000026,2026-01-19 15:02:07,farah.iyer1,EMP0001,kiran.joshi16@company-intranet.local,0,160,1,0
E000027,2026-01-01 15:28:49,farah.iyer1,EMP0001,manoj.khan13@company-intranet.local,0,180,0,0
E000028,2026-01-16 11:42:58,farah.iyer1,EMP0001,varun.iyer36@company-intranet.local,0,382,1,0
E000029,2026-01-09 11:13:14,farah.iyer1,EMP0001,sameer.reddy42@company-intranet.local,0,196,1,0
E000030,2026-01-08 05:42:23,farah.iyer1,EMP0001,deepak.bose29@company-intranet.local,0,358,1,0
E000031,2026-01-02 13:03:32,farah.iyer1,EMP0001,farah.kapoor24@company-intranet.local,0,294,1,0
E000032,2026-01-05 15:18:36,farah.iyer1,EMP0001,neha.naidu12@company-intranet.local,0,483,0,0
E000033,2026-01-29 23:37:51,farah.iyer1,EMP0001,rahul.bhatt11@company-intranet.local,0,211,1,0
E000034,2026-02-06 13:40:26,farah.iyer1,EMP0001,rohan.chatterjee50@company-intranet.local,0,324,1,0
E000035,2026-01-25 16:42:18,farah.iyer1,EMP0001,karthik.bose54@company-intranet.local,0,287,1,0
E000036,2026-02-08 15:47:46,farah.iyer1,EMP0001,karthik.rao44@company-intranet.local,0,352,0,0
E000037,2026-01-06 17:18:09,farah.iyer1,EMP0001,yusuf.das35@company-intranet.local,0,406,0,0
