employee_id,username,label
EMP0001,farah.iyer1,normal
EMP0002,vikram.menon2,normal
EMP0003,yusuf.naidu3,normal
EMP0004,rohan.sharma4,normal
EMP0005,ritu.bhatt5,normal
EMP0006,lakshmi.naidu6,normal
EMP0007,swati.das7,normal
EMP0008,deepak.gupta8,normal
EMP0009,anjali.nair9,normal
EMP0010,sneha.joshi10,normal
EMP0011,rahul.bhatt11,normal
EMP0012,neha.naidu12,normal
EMP0013,manoj.khan13,normal
EMP0014,meera.reddy14,malicious
EMP0015,tanya.khan15,normal
EMP0016,kiran.joshi16,normal
EMP0017,kavya.patil17,normal
EMP0018,meera.das18,normal
EMP0019,farah.gupta19,normal
EMP0020,neha.joshi20,normal
EMP0021,divya.verma21,normal
EMP0022,divya.joshi22,normal
EMP0023,varun.saxena23,normal
EMP0024,farah.kapoor24,normal
EMP0025,vikram.naidu25,normal
EMP0026,swati.bose26,malicious
EMP0027,vikram.nair27,malicious
EMP0028,tanya.verma28,normal
EMP0029,deepak.bose29,normal
EMP0030,pooja.bhatt30,normal
EMP0031,rajesh.sharma31,malicious
EMP0032,isha.naidu32,malicious
EMP0033,farah.chatterjee33,normal
EMP0034,arjun.mehta34,normal
EMP0035,yusuf.das35,normal
EMP0036,varun.iyer36,normal
EMP0037,farah.pillai37,normal
EMP0038,rahul.gupta38,normal
EMP0039,divya.kapoor39,normal
EMP0040,rahul.khan40,normal
EMP0041,isha.saxena41,normal
EMP0042,sameer.reddy42,normal
EMP0043,nikhil.kapoor43,normal
EMP0044,karthik.rao44,normal
EMP0045,suresh.joshi45,normal
EMP0046,isha.pillai46,normal
EMP0047,vikram.reddy47,normal
EMP0048,manoj.menon48,normal
EMP0049,sneha.verma49,normal
EMP0050,rohan.chatterjee50,normal
EMP0051,anjali.kapoor51,normal
EMP0052,swati.kapoor52,normal
EMP0053,kiran.iyer53,normal
EMP0054,karthik.bose54,normal
EMP0055,rohan.joshi55,normal
EMP0056,rajesh.iyer56,malicious
EMP0057,manoj.mehta57,normal
EMP0058,anjali.mehta58,normal
EMP0059,deepak.naidu59,normal
EMP0060,manoj.sharma60,normal
