employee_code,employee_name,email,role,department,manager,avg_login_time,avg_logout_time,login_frequency,weekend_logins,night_logins,failed_logins,usb_usage,files_accessed,large_file_transfers,external_emails,total_emails,web_browsing,job_search,after_hours_activity,unique_devices,avg_session_duration,O,C,E,A,N
CEL0561,Calvin Edan Love,Calvin.Edan.Love@dtaa.com,ComputerProgrammer,2 - SoftwareManagement,Stephanie Briar Harrington,10.960093896713614,18.05900900900901,2.3666666666666667,0,0,0,0.0,0,0,53,101,95,0,0,1,7.073571428571428,40,39,36,19,40
JFC0557,Jade Felicia Caldwell,Jade.Felicia.Caldwell@dtaa.com,SoftwareEngineer,2 - SoftwareManagement,Stephanie Briar Harrington,10.975980392156861,18.002252252252248,2.2666666666666666,0,0,1,320.0,562,45,38,108,95,0,0,1,6.991044776119404,22,16,23,40,33
ASD0577,Aquila Stewart Dejesus,Aquila.Stewart.Dejesus@dtaa.com,ProductionLineWorker,3 - Assembly,Whilemina Pandora England,8.444298245614036,18.549099099099095,1.2666666666666666,0,0,0,0.0,0,0,7,12,10,0,0,1,10.106756756756758,40,48,36,14,37
GRM0868,Gail Rhiannon Mcconnell,Gail.Rhiannon.Mcconnell@dtaa.com,Salesman,2 - Sales,Hashim Damon Dudley,7.732017543859649,17.78648648648649,1.2666666666666666,0,0,0,0.0,0,0,96,177,172,0,0,1,10.05810810810811,21,25,20,13,28
AAL0706,April Alika Levy,April.Alika.Levy@dtaa.com,ProductionLineWorker,3 - Assembly,Alan Benjamin Holder,7.7482456140350875,16.762612612612614,1.2666666666666666,0,0,0,0.0,0,0,7,12,10,0,0,1,9.014414414414414,37,14,28,13,25
RVC0232,Rama Vielka Clayton,Rama.Vielka.Clayton@dtaa.com,Mathematician,1 - Research,Jackson Linus Wilkerson,7.998245614035087,19.000450450450455,1.2666666666666666,0,0,2,0.0,0,0,50,101,99,1,0,1,11.005405405405407,34,20,47,38,25
TCD0009,Tasha Casey Dalton,Tasha.Casey.Dalton@dtaa.com,AdministrativeAssistant,,Halla Cathleen Simmons,8.490789473684211,17.525675675675675,1.2666666666666666,0,0,0,0.0,0,0,73,126,114,0,0,1,9.036936936936938,44,28,44,38,23
ASM0575,Aurora Sarah Manning,Aurora.Sarah.Manning@dtaa.com,ProductionLineWorker,3 - Assembly,Whilemina Pandora England,10.617391304347825,18.508108108108104,2.3,0,0,0,0.0,0,0,6,12,10,0,0,1,7.855392156862744,42,25,21,45,30
FOB0756,Ferris Omar Barry,Ferris.Omar.Barry@dtaa.com,Technician,3 - FieldService,Blaine Helen Cervantes,10.681089743589745,15.364141414141415,3.466666666666667,22,0,2,32.0,37,2,27,45,59,0,0,2,3.977508090614887,42,41,34,20,27
GCG0951,Grant Camden Gay,Grant.Camden.Gay@dtaa.com,ProductionLineWorker,3 - Assembly,Sandra Beverly Diaz,9.42146118721461,15.88861788617886,2.433333333333333,0,0,0,0.0,0,0,3,12,13,0,0,2,6.285185185185185,33,33,25,19,44
AAV0450,Aspen Amber Vinson,Aspen.Amber.Vinson@dtaa.com,ProductionLineWorker,3 - Assembly,Armando Albert Walter,7.985526315789474,18.039639639639642,1.2666666666666666,0,0,1,0.0,0,0,6,12,10,0,0,1,10.054954954954956,44,24,36,41,33
CJV0286,Colorado John Valentine,Colorado.John.Valentine@dtaa.com,Technician,3 - Engineering,Rose Hanae Yates,11.250260416666666,18.215765765765767,2.1333333333333333,0,0,2,0.0,0,0,16,35,29,0,0,1,6.96015625,18,14,17,13,26
TDG0962,Tyrone Damian Garner,Tyrone.Damian.Garner@dtaa.com,ProductionLineWorker,3 - Assembly,Sandra Beverly Diaz,9.885772357723576,15.481089743589745,2.7333333333333334,0,0,0,0.0,0,0,4,13,10,2,0,2,4.973456790123456,42,40,36,26,21
SVL0803,Stephanie Victoria Lyons,Stephanie.Victoria.Lyons@dtaa.com,Mathematician,1 - Research,Sasha Britanney Quinn,8.21359649122807,17.308108108108108,1.2666666666666666,0,0,0,0.0,0,0,47,100,101,1,0,1,9.097297297297299,27,35,20,36,32
MDM0625,Melyssa Deirdre Morgan,Melyssa.Deirdre.Morgan@dtaa.com,Salesman,2 - Sales,Winter Veda Burks,10.00486111111111,16.60487804878049,2.4,0,0,1,615.0,1748,91,63,182,170,1,0,2,6.386150234741784,18,42,36,27,24
GMF0738,Gray Mason Fulton,Gray.Mason.Fulton@dtaa.com,Salesman,2 - Sales,Lysandra Chastity Brennan,7.953508771929825,17.036936936936932,1.2666666666666666,0,0,0,0.0,0,0,90,179,171,0,0,1,9.086486486486486,30,40,45,20,18
BER0314,Bianca Elizabeth Roach,Bianca.Elizabeth.Roach@dtaa.com,Salesman,2 - Sales,Meredith Ainsley Wolf,7.714473684210525,15.745945945945946,1.2666666666666666,0,0,0,0.0,0,0,60,168,184,0,0,1,8.036486486486485,23,20,18,19,32
AMR0400,Aurelia Martina Reese,Aurelia.Martina.Reese@dtaa.com,SoftwareEngineer,2 - SoftwareManagement,Jocelyn Bree Mccray,8.003947368421054,19.008558558558555,1.2666666666666666,0,0,0,0.0,0,0,44,106,101,0,0,1,11.006306306306305,19,16,47,28,28
YCE0983,Yardley Cairo Elliott,Yardley.Cairo.Elliott@dtaa.com,ManagementTrainer,3 - Training,Walter Kaseem Foley,7.748684210526315,17.777027027027028,1.2666666666666666,0,0,0,0.0,0,0,54,112,107,0,0,1,10.028828828828829,39,21,42,30,36
BJW0619,Blaine Jelani Weeks,Blaine.Jelani.Weeks@dtaa.com,Salesman,2 - Sales,Winter Veda Burks,7.946491228070175,17.03738738738739,1.2666666666666666,0,0,0,0.0,0,0,78,167,165,0,0,1,9.092342342342343,30,43,47,21,39
TYB0779,TaShya Yoko Bailey,TaShya.Yoko.Bailey@dtaa.com,Technician,3 - FieldService,Blaine Helen Cervantes,10.709803921568628,16.51081081081081,2.2666666666666666,0,0,0,0.0,0,0,12,36,29,0,0,1,5.764179104477613,24,20,35,36,34
KBL0260,Kermit Beau Leach,Kermit.Beau.Leach@dtaa.com,ElectricalEngineer,3 - Engineering,Dylan Tiger Terry,7.743421052631578,16.754054054054055,1.2666666666666666,0,0,1,0.0,0,0,57,107,117,0,0,1,9.015765765765769,16,15,48,16,32
HCL0651,Heather Cynthia Leonard,Heather.Cynthia.Leonard@dtaa.com,Technician,3 - FieldService,Hedwig Regina Livingston,11.065196078431374,20.461666666666666,2.2666666666666666,0,0,0,151.0,154,6,25,33,29,0,62,2,9.107107843137253,21,19,44,36,33
SCP0130,Shannon Chantale Price,Shannon.Chantale.Price@dtaa.com,AssemblySupervisor,3 - Assembly,Delilah Iliana Wilkinson,10.016339869281044,16.839333333333332,1.7,0,0,0,159.0,292,21,11,35,29,0,0,2,5.604,42,18,35,32,24
CMW0783,Castor Mark Wolf,Castor.Mark.Wolf@dtaa.com,Technician,3 - FieldService,Blaine Helen Cervantes,8.46622807017544,16.533783783783782,1.2666666666666666,0,0,0,0.0,0,0,17,36,29,0,0,1,8.069369369369367,21,35,14,16,26
DOL0332,Damian Omar Le,Damian.Omar.Le@dtaa.com,Technician,3 - FieldService,Garrett Nicholas Solomon,7.198684210526315,18.31846846846847,1.2666666666666666,0,0,0,0.0,0,0,16,34,34,0,0,1,11.122972972972974,32,40,41,18,24
RSC0089,Robert Samuel Chen,Robert.Samuel.Chen@dtaa.com,ElectricalEngineer,3 - Engineering,Dylan Tiger Terry,10.159496124031007,14.988050314465411,2.8666666666666667,1,3,1,644.0,222,18,69,108,93,2,19,4,4.628431372549021,41,26,35,21,29
CCM0136,Cailin Casey Mckee,Cailin.Casey.Mckee@dtaa.com,ProductionLineWorker,3 - Assembly,Shannon Chantale Price,10.900252525252528,17.66153846153846,2.2,0,0,0,32.0,30,1,3,13,9,0,0,2,6.585128205128204,16,16,39,40,29
NCH0179,Nina Camille Hodges,Nina.Camille.Hodges@dtaa.com,AdministrativeAssistant,3 - FieldService,Garrett Nicholas Solomon,7.246929824561403,18.243243243243242,1.2666666666666666,0,0,0,0.0,0,0,59,124,126,0,0,1,10.996396396396397,17,12,40,17,25
NBH0256,Nicolas Brandon Hendrix,Nicolas.Brandon.Hendrix@dtaa.com,ElectricalEngineer,3 - Engineering,Dylan Tiger Terry,7.696491228070178,16.78288288288288,1.2666666666666666,0,0,0,0.0,0,0,35,112,103,0,0,1,9.089189189189188,41,43,14,21,22
ORG0339,Olivia Rose Galloway,Olivia.Rose.Galloway@dtaa.com,Technician,3 - FieldService,Garrett Nicholas Solomon,7.2368421052631575,18.28333333333333,1.2666666666666666,0,0,1,0.0,0,0,14,39,32,0,0,1,11.0490990990991,50,28,46,47,20
FRR0832,Forrest Rashad Richards,Forrest.Rashad.Richards@dtaa.com,ProductionLineWorker,3 - Assembly,Amy Lucy Chen,8.453947368421055,19.540090090090086,1.2666666666666666,0,0,0,0.0,0,0,5,11,10,0,0,1,11.087387387387388,43,40,25,19,30
MSD0939,Miriam Shoshana Donovan,Miriam.Shoshana.Donovan@dtaa.com,ComputerProgrammer,2 - SoftwareManagement,Caleb Mason Ball,7.199122807017543,16.3027027027027,1.2666666666666666,0,0,0,0.0,0,0,26,106,112,0,0,1,9.107207207207207,24,37,15,42,31
OQH0183,Olivia Quynn Hardy,Olivia.Quynn.Hardy@dtaa.com,Technician,3 - FieldService,Garrett Nicholas Solomon,7.2140350877192985,18.277927927927927,1.2666666666666666,0,0,0,0.0,0,0,9,33,33,0,0,1,11.066666666666666,34,38,18,33,23
BSH0445,Bethany Stephanie Haynes,Bethany.Stephanie.Haynes@dtaa.com,TestEngineer,3 - Engineering,Cameron Noel Elliott,7.979385964912279,17.017567567567564,1.2666666666666666,0,0,0,0.0,0,0,47,108,101,0,0,1,9.03918918918919,38,22,30,15,21
NGO0690,Nigel Gareth Ochoa,Nigel.Gareth.Ochoa@dtaa.com,SoftwareEngineer,2 - SoftwareManagement,Aurora Tatiana Payne,10.960353535353535,19.0509009009009,2.2,0,0,0,0.0,0,0,55,108,95,0,0,1,8.051538461538462,43,41,41,17,24
VCC0396,Vincent Craig Cunningham,Vincent.Craig.Cunningham@dtaa.com,SoftwareEngineer,2 - SoftwareManagement,Jocelyn Bree Mccray,10.263013698630136,17.493939393939396,2.433333333333333,0,3,1,166.0,379,18,50,107,105,1,6,2,7.112268518518519,21,45,16,37,23
KPP0452,Kai Penelope Peck,Kai.Penelope.Peck@dtaa.com,ProductionLineWorker,3 - Assembly,Armando Albert Walter,7.964473684210527,18.08108108108108,1.2666666666666666,0,0,0,0.0,0,0,3,12,11,0,0,1,10.118018018018018,44,46,44,16,19
RTO0313,Raymond Tate Osborne,Raymond.Tate.Osborne@dtaa.com,Salesman,2 - Sales,Meredith Ainsley Wolf,9.958552631578948,13.909722222222221,2.533333333333333,0,5,1,0.0,0,0,97,191,177,0,9,2,4.134222222222223,44,45,25,17,27
