id,full_name,username,email,password,google_id,profile_picture,auth_provider,email_verified,role_id,created_at,last_login
1,Chen Sokolov,chen_sokolov13,chen.sokolov5@yahoo.com,SecurePass350!,,https://api.dicebear.com/7.x/adventurer/svg?seed=chen_sokolov13,local,1,1,2026-06-15T12:37:29.805098,2026-06-15T12:37:29.805098
2,Emma Larsson,emma_larsson14,emma.larsson2@company.com,SecurePass323!,,https://api.dicebear.com/7.x/adventurer/svg?seed=emma_larsson14,local,1,4,2026-06-21T12:37:29.805098,2026-06-22T12:37:29.805098
3,Takashi Johansson,takashi_johansson85,takashi.johansson1@cybersec.net,SecurePass877!,,https://api.dicebear.com/7.x/adventurer/svg?seed=takashi_johansson85,local,0,2,2026-06-28T12:37:29.805098,2026-06-30T12:37:29.805098
4,Hana Fischer,hana_fischer53,hana.fischer2@company.com,SecurePass489!,,https://api.dicebear.com/7.x/adventurer/svg?seed=hana_fischer53,local,0,3,2026-06-11T12:37:29.805098,2026-06-13T12:37:29.805098
5,Priya Schmidt,priya_schmidt68,priya.schmidt2@gmail.com,SecurePass487!,,https://api.dicebear.com/7.x/adventurer/svg?seed=priya_schmidt68,local,0,3,2026-06-12T12:37:29.805098,2026-06-17T12:37:29.805098
6,James Watanabe,james_watanabe18,james.watanabe4@company.com,SecurePass891!,1002920458,https://api.dicebear.com/7.x/adventurer/svg?seed=james_watanabe18,google,1,1,2026-06-11T12:37:29.805098,2026-06-12T12:37:29.805098
7,Diego Adeleke,diego_adeleke68,diego.adeleke6@yahoo.com,SecurePass266!,1002956566,https://api.dicebear.com/7.x/adventurer/svg?seed=diego_adeleke68,google,1,3,2026-07-02T12:37:29.805098,2026-07-07T12:37:29.805098
8,Jun Chen,jun_chen92,jun.chen3@company.com,SecurePass646!,,https://api.dicebear.com/7.x/adventurer/svg?seed=jun_chen92,local,1,3,2026-06-24T12:37:29.805098,2026-06-27T12:37:29.805098
9,Chen Yang,chen_yang81,chen.yang6@intel.org,SecurePass963!,,https://api.dicebear.com/7.x/adventurer/svg?seed=chen_yang81,local,1,3,2026-06-12T12:37:29.805098,2026-06-12T12:37:29.805098
10,Sven Adeleke,sven_adeleke18,sven.adeleke6@intel.org,SecurePass317!,1002961856,https://api.dicebear.com/7.x/adventurer/svg?seed=sven_adeleke18,google,1,4,2026-06-10T12:37:29.805098,2026-06-15T12:37:29.805098
11,Sofia Chineye,sofia_chineye27,sofia.chineye9@intel.org,SecurePass651!,1002986622,https://api.dicebear.com/7.x/adventurer/svg?seed=sofia_chineye27,google,1,4,2026-06-25T12:37:29.805098,2026-06-29T12:37:29.805098
12,Isabella Nakamura,isabella_nakamura27,isabella.nakamura8@gmail.com,SecurePass193!,,https://api.dicebear.com/7.x/adventurer/svg?seed=isabella_nakamura27,local,1,2,2026-07-04T12:37:29.805098,2026-07-09T12:37:29.805098
13,Yan Larsson,yan_larsson86,yan.larsson7@company.com,SecurePass490!,1002979352,https://api.dicebear.com/7.x/adventurer/svg?seed=yan_larsson86,google,1,1,2026-06-30T12:37:29.805098,2026-07-04T12:37:29.805098
